id_game,rank,so_tuong,so_skin,gia,link
dangcapkthp123#ingam,BẠC II,171,36,"75,000 VNĐ",https://chothuesub.com/account/119005
EmMinhGiấuTên#2104,SẮT I,171,37,"75,000 VNĐ",https://chothuesub.com/account/119006
I am the cop#2002,ĐỒNG III,170,43,"75,000 VNĐ",https://chothuesub.com/account/119007
bé biết gì đâu#adc,BẠC IV,171,44,"75,000 VNĐ",https://chothuesub.com/account/119008
Mâylangthang#8678,UNRANK,165,47,"75,000 VNĐ",https://chothuesub.com/account/119012
Sir Alex#1509,UNRANK,171,52,"75,000 VNĐ",https://chothuesub.com/account/119015
Thầy Giáo Văn#VN102,UNRANK,169,56,"75,000 VNĐ",https://chothuesub.com/account/119017
đi đâu mà vội #leo,BẠC II,170,51,"75,000 VNĐ",https://chothuesub.com/account/119025
babytop1 #2006,VÀNG IV,121,16,"76,000 VNĐ",https://chothuesub.com/account/119072
Jackypain#1234,VÀNG I,138,40,"77,000 VNĐ",https://chothuesub.com/account/118966
Thợ San Quy Ba #2009,BẠC III,171,200,"77,000 VNĐ",https://chothuesub.com/account/119242
workingpenguin #6969,BẠC IV,171,205,"77,000 VNĐ",https://chothuesub.com/account/119243
Đặc Vy To Buôi #204,ĐỒNG II,171,208,"77,000 VNĐ",https://chothuesub.com/account/119246
Hanyu #VNM,ĐỒNG IV,171,210,"77,000 VNĐ",https://chothuesub.com/account/119247
Lục Nhĩ My Hau #HYVN,UNRANK,171,224,"77,000 VNĐ",https://chothuesub.com/account/119248
Four Horse Italy #0611,VÀNG III,141,31,"78,000 VNĐ",https://chothuesub.com/account/119159
truonghphuong #7979,VÀNG IV,156,67,"79,000 VNĐ",https://chothuesub.com/account/119173
Cường Béo Slowly #Cường,VÀNG II,153,197,"79,000 VNĐ",https://chothuesub.com/account/119241
Dit me LMHT#8686,VÀNG IV,158,27,"79,000 VNĐ",https://chothuesub.com/account/118999
Trung Bé Cuti#0604,VÀNG IV,171,32,"80,000 VNĐ",https://chothuesub.com/account/119101
Bao not Down #1809,VÀNG III,171,103,"80,000 VNĐ",https://chothuesub.com/account/119199
Ann Chuu Choaa #vn2,VÀNG IV,166,112,"80,000 VNĐ",https://chothuesub.com/account/119200
Tiểu Quy zzz #2000,VÀNG IV,169,112,"80,000 VNĐ",https://chothuesub.com/account/119201
wongun78 #8888,VÀNG IV,171,95,"80,000 VNĐ",https://chothuesub.com/account/119202
Missline2#MLT,VÀNG IV,171,61,"80,000 VNĐ",https://chothuesub.com/account/118968
GiangWick #2210,VÀNG III,171,138,"80,000 VNĐ",https://chothuesub.com/account/119226
⁦이렐리아⁩#⁦0401⁩,VÀNG IV,171,140,"80,000 VNĐ",https://chothuesub.com/account/119227
PanDa #Luci,VÀNG III,170,146,"80,000 VNĐ",https://chothuesub.com/account/119228
butterfly king #2025,VÀNG II,171,161,"80,000 VNĐ",https://chothuesub.com/account/119230
ế bang thực lực #20101,VÀNG IV,171,166,"80,000 VNĐ",https://chothuesub.com/account/119232
Lai Bay Chi Buff #0607,VÀNG II,171,171,"80,000 VNĐ",https://chothuesub.com/account/119234
Pháp Su qịp #VNI,VÀNG IV,171,185,"80,000 VNĐ",https://chothuesub.com/account/119238
NBD HniB29 #itb,VÀNG III,170,195,"80,000 VNĐ",https://chothuesub.com/account/119239
Alleri VN #vn2,BẠCH KIM I,126,28,"81,000 VNĐ",https://chothuesub.com/account/119172
dũng lả lướt #2207,LỤC BẢO IV,140,32,"83,000 VNĐ",https://chothuesub.com/account/119041
John Senna#2005,BẠCH KIM I,143,31,"83,000 VNĐ",https://chothuesub.com/account/119100
HTMLCS #24012,BẠCH KIM III,171,116,"85,000 VNĐ",https://chothuesub.com/account/119225
