id_game,rank,so_tuong,so_skin,gia,link,shop
teo#0218,BẠC II,171,116,"75,000 VNĐ",https://chothuesub.com/account/118979,chothuesub.com
Giang Máy Chém #19014,ĐỒNG I,170,177,"75,000 VNĐ",https://chothuesub.com/account/119235,chothuesub.com
Ko Tin Đàn bà#123,ĐỒNG IV,171,117,"75,000 VNĐ",https://chothuesub.com/account/118980,chothuesub.com
TiennZiett007 #vn3,ĐỒNG III,171,177,"75,000 VNĐ",https://chothuesub.com/account/119236,chothuesub.com
01286817145#vn2,ĐỒNG I,164,119,"75,000 VNĐ",https://chothuesub.com/account/118981,chothuesub.com
gfnhvh #vn2,BẠC IV,165,181,"75,000 VNĐ",https://chothuesub.com/account/119237,chothuesub.com
Tiểu Phan #1115,BẠC II,168,196,"75,000 VNĐ",https://chothuesub.com/account/119240,chothuesub.com
DAXUA XANH LÁ#vn2,ĐỒNG III,170,137,"75,000 VNĐ",https://chothuesub.com/account/118985,chothuesub.com
KeyToRiave #vn2,BẠC III,149,206,"75,000 VNĐ",https://chothuesub.com/account/119244,chothuesub.com
CailonOnuoc#hvt,ĐỒNG IV,171,29,"75,000 VNĐ",https://chothuesub.com/account/119002,chothuesub.com
dangcapkthp123#ingam,BẠC II,171,36,"75,000 VNĐ",https://chothuesub.com/account/119005,chothuesub.com
EmMinhGiấuTên#2104,SẮT I,171,37,"75,000 VNĐ",https://chothuesub.com/account/119006,chothuesub.com
I am the cop#2002,ĐỒNG III,170,43,"75,000 VNĐ",https://chothuesub.com/account/119007,chothuesub.com
bé biết gì đâu#adc,BẠC IV,171,44,"75,000 VNĐ",https://chothuesub.com/account/119008,chothuesub.com
Mâylangthang#8678,UNRANK,165,47,"75,000 VNĐ",https://chothuesub.com/account/119012,chothuesub.com
Thầy Giáo Văn#VN102,UNRANK,169,56,"75,000 VNĐ",https://chothuesub.com/account/119017,chothuesub.com
đi đâu mà vội #leo,BẠC II,170,51,"75,000 VNĐ",https://chothuesub.com/account/119025,chothuesub.com
babytop1 #2006,VÀNG IV,121,16,"76,000 VNĐ",https://chothuesub.com/account/119072,chothuesub.com
Jackypain#1234,VÀNG I,138,40,"77,000 VNĐ",https://chothuesub.com/account/118966,chothuesub.com
Thợ San Quy Ba #2009,BẠC III,171,200,"77,000 VNĐ",https://chothuesub.com/account/119242,chothuesub.com
workingpenguin #6969,BẠC IV,171,205,"77,000 VNĐ",https://chothuesub.com/account/119243,chothuesub.com
Đặc Vy To Buôi #204,ĐỒNG II,171,208,"77,000 VNĐ",https://chothuesub.com/account/119246,chothuesub.com
Hanyu #VNM,ĐỒNG IV,171,210,"77,000 VNĐ",https://chothuesub.com/account/119247,chothuesub.com
Lục Nhĩ My Hau #HYVN,UNRANK,171,224,"77,000 VNĐ",https://chothuesub.com/account/119248,chothuesub.com
Four Horse Italy #0611,VÀNG III,141,31,"78,000 VNĐ",https://chothuesub.com/account/119159,chothuesub.com
truonghphuong #7979,VÀNG IV,156,67,"79,000 VNĐ",https://chothuesub.com/account/119173,chothuesub.com
Cường Béo Slowly #Cường,VÀNG II,153,197,"79,000 VNĐ",https://chothuesub.com/account/119241,chothuesub.com
Dit me LMHT#8686,VÀNG IV,158,27,"79,000 VNĐ",https://chothuesub.com/account/118999,chothuesub.com
Trung Bé Cuti#0604,VÀNG IV,171,32,"80,000 VNĐ",https://chothuesub.com/account/119101,chothuesub.com
Bao not Down #1809,VÀNG III,171,103,"80,000 VNĐ",https://chothuesub.com/account/119199,chothuesub.com
Ann Chuu Choaa #vn2,VÀNG IV,166,112,"80,000 VNĐ",https://chothuesub.com/account/119200,chothuesub.com
Tiểu Quy zzz #2000,VÀNG IV,169,112,"80,000 VNĐ",https://chothuesub.com/account/119201,chothuesub.com
wongun78 #8888,VÀNG IV,171,95,"80,000 VNĐ",https://chothuesub.com/account/119202,chothuesub.com
Missline2#MLT,VÀNG IV,171,61,"80,000 VNĐ",https://chothuesub.com/account/118968,chothuesub.com
GiangWick #2210,VÀNG III,171,138,"80,000 VNĐ",https://chothuesub.com/account/119226,chothuesub.com
PanDa #Luci,VÀNG III,170,146,"80,000 VNĐ",https://chothuesub.com/account/119228,chothuesub.com
butterfly king #2025,VÀNG II,171,161,"80,000 VNĐ",https://chothuesub.com/account/119230,chothuesub.com
ế bang thực lực #20101,VÀNG IV,171,166,"80,000 VNĐ",https://chothuesub.com/account/119232,chothuesub.com
Lai Bay Chi Buff #0607,VÀNG II,171,171,"80,000 VNĐ",https://chothuesub.com/account/119234,chothuesub.com
Pháp Su qịp #VNI,VÀNG IV,171,185,"80,000 VNĐ",https://chothuesub.com/account/119238,chothuesub.com
NBD HniB29 #itb,VÀNG III,170,195,"80,000 VNĐ",https://chothuesub.com/account/119239,chothuesub.com
Alleri VN #vn2,BẠCH KIM I,126,28,"81,000 VNĐ",https://chothuesub.com/account/119172,chothuesub.com
dũng lả lướt #2207,LỤC BẢO IV,140,32,"83,000 VNĐ",https://chothuesub.com/account/119041,chothuesub.com
John Senna#2005,BẠCH KIM I,143,31,"83,000 VNĐ",https://chothuesub.com/account/119100,chothuesub.com
